"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p25"
12086003916,"Normandy Shores, Miami Beach, FL",0.1909
12086013000,"Hialeah, FL",0.1902
12086004405,"Flamingo / Lummus, Miami Beach, FL",0.1894
12086006602,"Brickell, Miami, FL",0.1893
12086000708,"Hialeah, FL",0.1882
12086000807,"Hialeah, FL",0.1867
12086000109,"North Miami Beach, FL",0.1862
12086000705,"Hialeah, FL",0.1862
12086003911,"North Beach, Miami Beach, FL",0.1859
12086003912,"Biscayne Point, Miami Beach, FL",0.1845
12086013800,"Hialeah, FL",0.1842
12086009308,"Hialeah, FL",0.1838
12086001204,"North Miami, FL",0.1829
12086000123,"Sunny Isles Beach, FL",0.1823
12086005405,"Little Havana, Miami, FL",0.1821
12086007104,"Coconut Grove, Miami, FL",0.178
12086007103,"Coconut Grove, Miami, FL",0.1779
12086005502,"Little Havana, Miami, FL",0.1776
12086012400,"Hialeah, FL",0.177
12086000214,"North Miami Beach, FL",0.1765
12086000605,"Hialeah, FL",0.1744
12086004404,"Flamingo / Lummus, Miami Beach, FL",0.1742
12086005902,"Miami, FL",0.1734
12086005407,"Little Havana, Miami, FL",0.1732
12086004304,"South Beach, Miami Beach, FL",0.1715
12086002705,"Edgewater, Miami, FL",0.1713
12086009314,"Hialeah, FL",0.1711
12086000709,"Hialeah, FL",0.171
12086000712,"Hialeah, FL",0.17
12086009312,"Miami Lakes, FL",0.1696
12086000603,"Hialeah, FL",0.1696
12086000120,"Keystone Islands, North Miami, FL",0.1689
12086009026,"Miami, FL",0.1681
12086003915,"Normandy Isles, Miami Beach, FL",0.1659
12086006601,"Coral Way, Miami, FL",0.1645
12086004500,"South Pointe, Miami, FL",0.1644
12086009311,"Hialeah, FL",0.1643
12086006301,"Little Havana, Miami, FL",0.1605
12086011600,"Hialeah, FL",0.1602
12086000607,"Hialeah, FL",0.16
12086006401,"Coral Way, Miami, FL",0.1591
12086013400,"Hialeah, FL",0.1591
12086004902,"Flagami, Miami, FL",0.159
12086006201,"Miami, FL",0.1579
12086001603,"Hialeah, FL",0.1569
12086004206,"South Beach, Miami Beach, FL",0.1564
12086009306,"Hialeah, FL",0.1562
12086003909,"North Beach, Miami Beach, FL",0.1559
12086004703,"Miami Springs, FL",0.1559
12086008805,"Miami, FL",0.1557
12086003914,"North Beach, Miami Beach, FL",0.1554
12086000804,"Hialeah, FL",0.155
12086014000,"Miami, FL",0.1542
12086007001,"Coral Way, Miami, FL",0.154
12086000706,"Hialeah, FL",0.1533
12086007601,"Miami, FL",0.1522
12086005801,"Flagami, Coral Gables, FL",0.1508
12086007002,"Coral Way, Miami, FL",0.1497
12086009305,"Miami Lakes, FL",0.1494
12086009014,"Doral, FL",0.1482
12086003921,"Mid-Beach, Miami, FL",0.1471
12086012800,"Hialeah, FL",0.1468
12086003918,"North Bay Village, FL",0.1465
12086000805,"Hialeah, FL",0.1463
12086009030,"Miami, FL",0.1461
12086004303,"Flamingo / Lummus, Miami Beach, FL",0.1456
12086007702,"Miami, FL",0.1453
12086005901,"West Miami, FL",0.1442
12086009200,"Hialeah, FL",0.1437
12086009031,"Miami, FL",0.1435
12086000707,"Hialeah, FL",0.1432
12086000505,"Hialeah, FL",0.1427
12086003913,"North Beach, Miami Beach, FL",0.1426
12086006503,"Coral Way, Miami, FL",0.1413
12086000601,"Hialeah, FL",0.139
12086003801,"Bay Harbor Islands, FL",0.1367
12086003917,"North Bay Village, FL",0.1345
12086009315,"Hialeah, FL",0.1343
12086004406,"West Avenue, Miami Beach, FL",0.1335
12086013100,"Hialeah, FL",0.1324
12086005802,"Flagami, Miami, FL",0.1319
12086013900,"Hialeah Gardens, FL",0.1314
12086000128,"Eastern Shores, North Miami Beach, FL",0.1306
12086006205,"Douglas, Coral Gables, FL",0.1304
12086009035,"Doral, FL",0.1296
12086006900,"Coral Way, Miami, FL",0.1289
12086009313,"Miami Lakes, FL",0.1289
12086005904,"Miami, FL",0.1285
12086008501,"Olympia Heights, FL",0.1266
12086008502,"Miami, FL",0.1259
12086005600,"Flagami, Coral Gables, FL",0.1256
12086006801,"Northeast Coconut Grove, Miami, FL",0.1253
12086008901,"Miami, FL",0.1238
12086012900,"Hialeah, FL",0.1231
12086013200,"Hialeah, FL",0.1224
12086004204,"South Beach, Miami Beach, FL",0.1217
12086004702,"Miami Springs, FL",0.121
12086009100,"Miami, FL",0.1207
12086004701,"Miami Springs, FL",0.1202
12086006504,"Coral Way, Miami, FL",0.12
12086007704,"Miami, FL",0.1197
12086004205,"Flamingo / Lummus, Miami Beach, FL",0.1187
12086008405,"Miami, FL",0.1185
12086006206,"Coral Gables Section, Coral Gables, FL",0.1184
12086006002,"Miami, FL",0.1182
12086006302,"Coral Way, Miami, FL",0.118
12086006706,"Brickell, Miami, FL",0.1179
12086008806,"Miami, FL",0.1174
12086007705,"Miami, FL",0.1142
12086007400,"Riviera, Coral Gables, FL",0.1135
12086007605,"Miami, FL",0.1122
12086000140,"Sunny Isles Beach, FL",0.1111
12086006711,"Brickell, Miami, FL",0.1102
12086009024,"Miami, FL",0.1091
12086001205,"Miami Shores, FL",0.1078
12086013300,"Hialeah Gardens, FL",0.106
12086009010,"Doral, FL",0.1025
12086005903,"Miami, FL",0.1011
12086009027,"Miami, FL",0.097
12086008902,"Miami, FL",0.0947
12086005701,"Flagami, Miami, FL",0.0941
12086000127,"Eastern Shores, Miami, FL",0.0937
12086012700,"Hialeah, FL",0.0921
12086004000,"Nautilus, Miami Beach, FL",0.0911
12086000107,"Sunny Isles Beach, FL",0.0892
12086009006,"Miami, FL",0.0891
12086007701,"Miami, FL",0.0891
12086006702,"Brickell, Miami, FL",0.0889
12086008000,"Old Cutler, Coral Gables, FL",0.0871
12086006802,"Northeast Coconut Grove, Miami, FL",0.0836
12086003922,"Mid-Beach, Miami, FL",0.0824
12086007804,"Miami, FL",0.0802
12086006001,"Miami, FL",0.0784
12086007807,"Pinecrest, FL",0.0731
12086004301,"West Avenue, Miami Beach, FL",0.0717
12086007805,"Kendall, FL",0.0706
12086007604,"South Miami, FL",0.0687
12086006203,"Crafts, Coral Gables, FL",0.0667
12086006101,"Granada, Coral Gables, FL",0.0664
12086008407,"Miami, FL",0.0656
12086004106,"Bayshore, Miami Beach, FL",0.0643
12086004608,"Miami, FL",0.062
12086007503,"Riviera, Coral Gables, FL",0.0615
12086003804,"Surfside, FL",0.0606
12086000125,"Sunny Isles Beach, FL",0.0583
12086003803,"Bal Harbour, FL",0.0581
12086007902,"Miami, FL",0.0515
12086004102,"Venetian Islands, Miami Beach, FL",0.0502
12086004105,"Mid-Beach, Miami Beach, FL",0.05
12086007300,"Coconut Grove, Miami, FL",0.0492
12086006707,"Brickell, Miami, FL",0.0454
12086007901,"Riviera, Coral Gables, FL",0.0342
12086007501,"Riviera, Coral Gables, FL",0.0289
12086006102,"Coral Gables Section, Coral Gables, FL",0.0264
12086000130,"Sunny Isles Beach, FL",0.0262
12086004602,"Key Biscayne, FL",0.0232
12086006705,"Brickell, Miami, FL",0.0155
12086004605,"Key Biscayne, FL",0.0122
12086007806,"Pinecrest, FL",0.011
12086004607,"Key Biscayne, FL",0.0006
12086006714,"Brickell, Miami, FL",0
12086003919,"Mid-Beach, Miami Beach, FL",0
12086980800,"Opa-locka, FL",
12086006713,"Brickell, Miami, FL",
12086981000,"Star, Palm and Hibiscus Islands, Miami Beach, FL",
12086980300,"Coral Gables, FL",
12086003704,"Downtown Miami, Miami, FL",
12086003705,"Downtown Miami, Miami, FL",
12086003703,"Downtown Miami, Miami, FL",
12086003706,"Downtown Miami, Miami, FL",
12086006709,"Brickell, Miami, FL",
12086980500,"Miami, FL",
12086980400,"Downtown Miami, Key Biscayne, FL",
12086009040,"Medley, FL",
12086003707,"Downtown Miami, Miami, FL",
